source,title,link,published,summary,timestamp,symbol
yahoo_finance,"US cuts tariffs on India to 18%, India agrees to end Russian oil purchases",https://finance.yahoo.com/news/trump-says-agreed-trade-deal-170647518.html?.tsrc=rss,"Mon, 02 Feb 2026 19:53:01 +0000","By David Lawder and Aftab Ahmed WASHINGTON/NEW DELHI, Feb 2 (Reuters) - U.S.",2026-02-06 20:50:42.210646,INFY.NS
yahoo_finance,Infosys and Madison Square Garden Family of Companies Renew & Expand Multi-Year Digital Innovation Partnership,https://finance.yahoo.com/news/infosys-madison-square-garden-family-130000944.html?.tsrc=rss,"Mon, 02 Feb 2026 13:00:00 +0000","NEW YORK, February 02, 2026--Infosys (NSE, BSE, NYSE: INFY), a global leader in next-generation digital services and consulting, Madison Square Garden Entertainment Corp. (NYSE: MSGE) (""MSG Entertainment""), Madison Square Garden Sports Corp. (NYSE: MSGS) (""MSG Sports"") and Sphere Entertainment Co. (NYSE: SPHR) (together, the MSG Family of Companies) today announced an extension of their partnership. The extension reinforces Infosys’ role as the Official Digital Innovation Partner across key prop",2026-02-06 20:50:42.210646,INFY.NS
yahoo_finance,"Bidgely Champions ""AI Built for Your Reality"" at DistribuTECH 2026, Unveils New Strategy for Unified Grid Intelligence",https://finance.yahoo.com/news/bidgely-champions-ai-built-reality-192100856.html?.tsrc=rss,"Tue, 27 Jan 2026 19:21:00 +0000","LOS ALTOS, Calif., January 27, 2026--Bidgely will bring the next wave of artificial intelligence (AI) to DistribuTECH International 2026 (Upper Level Booth #201), taking place February 2-5 at the San Diego Convention Center. Under the banner ""AI Built for Your Reality,"" Bidgely will advance the industry conversation beyond theoretical AI to scalable, real-world deployment, turning fragmented utility data into a definitive layer of behind-the-meter intelligence.",2026-02-06 20:50:42.210646,INFY.NS
yahoo_finance,Planview Enters 2026 with New Leadership and Continued AI Innovation,https://finance.yahoo.com/news/planview-enters-2026-leadership-continued-143000072.html?.tsrc=rss,"Wed, 21 Jan 2026 14:30:00 +0000","AUSTIN, Texas, January 21, 2026--Planview today announced strong 2025 momentum, driven by significant customer growth, AI innovation, and industry recognition throughout the year.",2026-02-06 20:50:42.210646,INFY.NS
yahoo_finance,"Big banks kick off fourth quarter earnings season, inflation data on deck: What to watch this week",https://finance.yahoo.com/news/big-banks-kick-off-fourth-quarter-earnings-season-inflation-data-on-deck-what-to-watch-this-week-123603447.html?.tsrc=rss,"Sun, 11 Jan 2026 12:36:03 +0000",Investors will be watching for consumer and producer price data alongside bank earnings in the week ahead.,2026-02-06 20:50:42.210646,INFY.NS
yahoo_finance,ISG Announces 2025 ISG Paragon Awards™ and ISG Software Innovation Awards™ Winners for EMEA,https://finance.yahoo.com/news/isg-announces-2025-isg-paragon-100000303.html?.tsrc=rss,"Tue, 25 Nov 2025 10:00:00 +0000","LONDON, November 25, 2025--The EMEA winners of the 2025 ISG Paragon Awards™ and the ISG Software Innovation Awards™ were announced at the ISG Sourcing Industry Awards gala.",2026-02-06 20:50:42.210646,INFY.NS
yahoo_finance,"Stocks dip as government shutdown continues, rare earths rally: What to watch this week",https://finance.yahoo.com/news/stocks-dip-as-government-shutdown-continues-rare-earths-rally-what-to-watch-this-week-114600627.html?.tsrc=rss,"Sun, 12 Oct 2025 11:46:00 +0000",The stock market will enter the second full week of the government shutdown. Investors will also focus on big bank earnings.,2026-02-06 20:50:42.210646,INFY.NS
yahoo_finance,ISG Announces 2025 ISG Paragon Awards™ and ISG Software Innovation Awards™ Winners for North America,https://finance.yahoo.com/news/isg-announces-2025-isg-paragon-130000746.html?.tsrc=rss,"Mon, 22 Sep 2025 13:00:00 +0000","STAMFORD, Conn., September 22, 2025--ISG has announced the winners of the 2025 ISG Paragon Awards™ and the ISG Software Innovation Awards™ for North America.",2026-02-06 20:50:42.210646,INFY.NS
yahoo_finance,ISG Announces 2025 ISG Women in Digital Awards Winners for the Americas,https://finance.yahoo.com/news/isg-announces-2025-isg-women-153000826.html?.tsrc=rss,"Fri, 05 Sep 2025 15:30:00 +0000","STAMFORD, Conn., September 05, 2025--Leaders with Verizon, Innova Solutions, Assurant, Blend Labs, Infosys and Nokia are winners of the 2025 ISG Women in Digital Awards for the Americas.",2026-02-06 20:50:42.210646,INFY.NS
yahoo_finance,"In earnings season, it's AI good, everything else, not so much",https://ca.finance.yahoo.com/news/bright-spots-emerge-corporate-earnings-052817506.html?.tsrc=rss,"Thu, 24 Jul 2025 05:28:17 +0000","The AI spending surge is providing a big boost for semiconductor and software giants like Google parent Alphabet, while companies from airlines to restaurants and food manufacturers are struggling to navigate an erratic U.S. trade policy which is boosting costs, upending supply chains and hurting consumer confidence.  Along with Alphabet, SK Hynix and India's Infosys exceeded market forecasts on Thursday and predicted brighter days to come, with Alphabet and SK Hynix both flagging plans to boost spending.  SK supplies the world's most valuable company Nvidia, the AI chipmaking giant that recently surpassed $4 trillion in market value.",2026-02-06 20:50:42.210646,INFY.NS
